symbol,requested_start,requested_end,expected_rows,returned_rows,retained_rows,duplicate_timestamps,excluded_rows
BTC-GBP,2019-01-01 00:00:00+00:00,2019-09-08 00:00:00+00:00,250,251,250,0,1
BTC-GBP,2019-09-08 00:00:00+00:00,2020-05-15 00:00:00+00:00,250,251,250,0,1
BTC-GBP,2020-05-15 00:00:00+00:00,2021-01-20 00:00:00+00:00,250,251,250,0,1
BTC-GBP,2021-01-20 00:00:00+00:00,2021-09-27 00:00:00+00:00,250,251,250,0,1
BTC-GBP,2021-09-27 00:00:00+00:00,2022-06-04 00:00:00+00:00,250,251,250,0,1
BTC-GBP,2022-06-04 00:00:00+00:00,2023-02-09 00:00:00+00:00,250,251,250,0,1
BTC-GBP,2023-02-09 00:00:00+00:00,2023-10-17 00:00:00+00:00,250,251,250,0,1
BTC-GBP,2023-10-17 00:00:00+00:00,2024-06-23 00:00:00+00:00,250,251,250,0,1
BTC-GBP,2024-06-23 00:00:00+00:00,2025-02-28 00:00:00+00:00,250,251,250,0,1
BTC-GBP,2025-02-28 00:00:00+00:00,2025-11-05 00:00:00+00:00,250,251,250,0,1
BTC-GBP,2025-11-05 00:00:00+00:00,2026-01-01 00:00:00+00:00,57,58,57,0,1
ETH-GBP,2019-01-01 00:00:00+00:00,2019-09-08 00:00:00+00:00,250,251,250,0,1
ETH-GBP,2019-09-08 00:00:00+00:00,2020-05-15 00:00:00+00:00,250,251,250,0,1
ETH-GBP,2020-05-15 00:00:00+00:00,2021-01-20 00:00:00+00:00,250,251,250,0,1
ETH-GBP,2021-01-20 00:00:00+00:00,2021-09-27 00:00:00+00:00,250,251,250,0,1
ETH-GBP,2021-09-27 00:00:00+00:00,2022-06-04 00:00:00+00:00,250,251,250,0,1
ETH-GBP,2022-06-04 00:00:00+00:00,2023-02-09 00:00:00+00:00,250,251,250,0,1
ETH-GBP,2023-02-09 00:00:00+00:00,2023-10-17 00:00:00+00:00,250,251,250,0,1
ETH-GBP,2023-10-17 00:00:00+00:00,2024-06-23 00:00:00+00:00,250,251,250,0,1
ETH-GBP,2024-06-23 00:00:00+00:00,2025-02-28 00:00:00+00:00,250,251,250,0,1
ETH-GBP,2025-02-28 00:00:00+00:00,2025-11-05 00:00:00+00:00,250,251,250,0,1
ETH-GBP,2025-11-05 00:00:00+00:00,2026-01-01 00:00:00+00:00,57,58,57,0,1
