product_id,day,original_reference_available,original_status,raw_path
1INCH-USD,2022-01-01 00:00:00+00:00,True,ok,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/1INCH-USD_20220101_0000_0015_60s.json
AAVE-USD,2022-01-01 00:00:00+00:00,True,ok,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/AAVE-USD_20220101_0000_0015_60s.json
ADA-USD,2022-01-01 00:00:00+00:00,True,ok,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ADA-USD_20220101_0000_0015_60s.json
ALGO-USD,2022-01-01 00:00:00+00:00,True,ok,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ALGO-USD_20220101_0000_0015_60s.json
ATOM-USD,2022-01-01 00:00:00+00:00,True,ok,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ATOM-USD_20220101_0000_0015_60s.json
BCH-USD,2022-01-01 00:00:00+00:00,True,ok,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/BCH-USD_20220101_0000_0015_60s.json
BTC-USD,2022-01-01 00:00:00+00:00,True,ok,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/BTC-USD_20220101_0000_0015_60s.json
CHZ-USD,2022-01-01 00:00:00+00:00,True,ok,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/CHZ-USD_20220101_0000_0015_60s.json
CRV-USD,2022-01-01 00:00:00+00:00,True,ok,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/CRV-USD_20220101_0000_0015_60s.json
DASH-USD,2022-01-01 00:00:00+00:00,True,ok,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/DASH-USD_20220101_0000_0015_60s.json
