ticker,observed_sessions,missing_price,invalid_price,missing_volume,invalid_volume,zero_volume,ohlc_inconsistent,large_adj_move,suspected_unit_jump,zero_volume_pct
4BB.L,1229,0,0,0,0,151,541,0,0,12.286411716842961
80M.L,2779,0,0,0,0,88,228,3,0,3.166606693055056
88E.L,2779,1,0,0,0,9,227,6,0,0.3238575026988125
AAU.L,2779,0,0,0,0,27,502,0,0,0.9715725080964376
AAZ.L,2779,0,0,0,0,41,511,0,0,1.4753508456279236
ABDP.L,2779,0,0,0,0,27,316,0,0,0.9715725080964376
ABDX.L,1272,0,0,0,0,2,159,0,0,0.15723270440251572
ACRM.L,2779,0,0,0,0,1067,1035,0,0,38.39510615329255
ACSO.L,2779,0,0,0,0,11,347,0,0,0.395825836631882
ADF.L,1007,0,0,0,0,11,244,0,0,1.0923535253227408
ADVT.L,1205,150,0,0,0,261,333,0,0,21.6597510373444
AEG.L,2779,122,0,0,0,182,580,5,0,6.54911838790932
AEO.L,2779,0,0,0,0,1040,1090,0,0,37.423533645196116
AET.L,2779,0,0,0,0,385,835,0,0,13.853904282115868
AFP.L,1159,0,0,0,0,143,414,0,0,12.338222605694565
AGI.L,2779,0,0,0,0,1855,631,0,0,66.75062972292191
AGY.L,2779,0,0,0,0,161,546,2,0,5.793450881612091
AIEA.L,2779,0,0,0,0,895,1113,0,0,32.20582943504858
AKN.L,2779,0,0,0,0,22,241,1,0,0.791651673263764
ALL.L,2750,0,0,0,0,252,335,0,0,9.163636363636364
ALT.L,2779,0,0,0,0,369,714,0,0,13.278157610651313
ALU.L,2779,0,0,0,0,31,580,0,0,1.1155091759625764
AMCO.L,259,0,0,0,0,0,29,0,0,0.0
AMP.L,2779,0,0,0,0,187,529,2,0,6.729039222741994
AMS.L,2779,0,0,0,0,0,5,0,0,0.0
ANG.L,2140,0,0,0,0,74,647,0,0,3.457943925233645
ANGS.L,2306,0,0,0,0,164,236,1,0,7.111882046834345
ANIC.L,2779,0,0,0,0,815,346,0,0,29.327096077725802
ANP.L,2779,0,0,0,0,11,654,0,0,0.395825836631882
AOM.L,1201,0,0,0,0,139,481,0,0,11.5736885928393
AOTI.L,391,0,0,0,0,141,167,0,0,36.0613810741688
APTA.L,1014,0,0,0,0,48,234,2,0,4.733727810650888
ARBB.L,2779,0,0,0,0,176,826,0,0,6.333213386110112
ARC.L,2779,0,0,0,0,239,1081,0,0,8.600215905001798
ARCM.L,2779,0,0,0,0,15,416,0,0,0.5397625044980209
AREC.L,1157,0,0,0,0,187,503,0,0,16.16248919619706
ARS.L,2779,0,0,0,0,31,430,0,0,1.1155091759625764
ART.L,1156,0,0,0,0,31,347,0,0,2.6816608996539792
AST.L,2779,0,0,0,0,44,639,5,0,1.583303346527528
ASY.L,2779,0,0,0,0,484,964,0,0,17.416336811802807
ATM.L,2056,0,0,0,0,15,281,0,0,0.7295719844357976
ATOM.L,1010,0,0,0,0,0,82,0,0,0.0
ATYM.L,2779,0,0,0,0,9,246,0,0,0.3238575026988125
AURA.L,2351,4,0,0,0,253,723,0,0,10.761378136962994
AURR.L,832,0,0,0,0,247,388,0,0,29.6875
AUTG.L,2365,0,0,0,0,1110,791,0,0,46.93446088794926
AVCT.L,2779,0,0,0,0,25,581,0,0,0.8996041741633681
AVG.L,2779,0,0,0,0,37,505,0,0,1.3314141777617847
AXL.L,1056,0,0,0,0,11,195,0,0,1.0416666666666667
AXS.L,2779,0,0,0,0,27,498,0,0,0.9715725080964376
AYM.L,2779,0,0,0,0,278,859,1,0,10.003598416696654
B90.L,2779,0,0,0,0,936,929,7,0,33.6811802806765
BANK.L,877,1,0,0,0,116,368,1,0,13.22690992018244
BAY.L,1073,93,0,0,0,606,309,0,0,56.47716682199441
BBSN.L,2779,0,0,0,0,284,776,1,0,10.219503418495862
BCE.L,2779,205,0,0,0,687,368,7,0,24.721122706009357
BEM.L,2779,0,0,0,0,56,734,0,0,2.0151133501259446
BGO.L,2779,0,0,0,0,40,459,0,0,1.439366678661389
BHL.L,1125,0,0,0,0,2,130,0,0,0.17777777777777778
BIG.L,1118,0,0,0,0,13,84,0,0,1.1627906976744187
BILN.L,2779,0,0,0,0,369,957,0,0,13.278157610651313
