Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2009-01-02,1623.5,1649.5,1623.5,1646.5,1641.9095458984375,83271,0.0,0.0,0.0
2009-01-05,1636.5,1640.5,1608.0,1611.0,1606.5089111328125,66234,0.0,0.0,0.0
2009-01-06,1585.0,1626.0,1585.0,1595.0,1590.5533447265625,68009,0.0,0.0,0.0
2009-01-07,1598.0,1598.0,1546.0,1555.5,1551.1629638671875,135300,0.0,0.0,0.0
2009-01-08,1539.0,1559.5,1523.5,1547.0,1542.6868896484375,83790,0.0,0.0,0.0
2009-01-09,1542.0,1546.0,1508.5,1508.5,1504.294189453125,40733,0.0,0.0,0.0
2009-01-12,1510.0,1520.0,1504.0,1507.5,1503.2967529296875,14076,0.0,0.0,0.0
2009-01-13,1496.0,1503.0,1495.0,1501.5,1497.3135986328125,66483,0.0,0.0,0.0
2009-01-14,1490.0,1490.0,1447.5,1429.5,1425.5145263671875,14096,0.0,0.0,0.0
2009-01-15,1420.0,1429.0,1401.5,1406.0,1402.0799560546875,21633,0.0,0.0,0.0
2009-01-16,1423.5,1436.0,1418.0,1410.5,1406.56787109375,246507,0.0,0.0,0.0
2009-01-19,1453.0,1453.0,1422.5,1410.0,1406.06884765625,4496,0.0,0.0,0.0
2009-01-20,1440.0,1455.0,1413.5,1415.0,1411.05517578125,154637,0.0,0.0,0.0
2009-01-21,1430.5,1445.5,1429.5,1435.0,1430.9991455078125,10168,0.0,0.0,0.0
2009-01-22,1461.0,1475.0,1422.0,1418.5,1414.545166015625,37513,0.0,0.0,0.0
2009-01-23,1401.5,1410.5,1400.0,1410.5,1406.56787109375,10193,0.0,0.0,0.0
2009-01-26,1421.5,1471.5,1421.5,1464.0,1459.918212890625,71248,0.0,0.0,0.0
2009-01-27,1443.0,1443.0,1421.0,1442.5,1438.478515625,52103,0.0,0.0,0.0
2009-01-28,1466.0,1481.0,1466.0,1478.0,1473.8792724609375,5555,0.0,0.0,0.0
2009-01-29,1466.0,1466.0,1434.0,1434.0,1430.0020751953125,53073,0.0,0.0,0.0
2009-01-30,1408.5,1409.5,1408.5,1384.0,1380.14111328125,33435,0.0,0.0,0.0
2009-02-02,1365.0,1376.0,1349.5,1373.5,1369.6707763671875,1360458,0.0,0.0,0.0
2009-02-03,1384.0,1432.0,1371.0,1400.5,1396.5950927734375,586733,0.0,0.0,0.0
2009-02-04,1396.0,1402.0,1396.0,1403.5,1399.586669921875,87925,0.0,0.0,0.0
2009-02-05,1348.0,1362.0,1344.0,1378.0,1374.157958984375,244182,0.0,0.0,0.0
2009-02-06,1376.0,1403.5,1375.0,1403.0,1399.08837890625,334453,0.0,0.0,0.0
2009-02-09,1392.5,1409.0,1392.5,1411.5,1407.5648193359375,21339,0.0,0.0,0.0
2009-02-10,1394.0,1421.5,1394.0,1397.5,1393.603515625,31551,0.0,0.0,0.0
2009-02-11,1404.0,1413.0,1395.0,1414.0,1410.0574951171875,1986,0.0,0.0,0.0
2009-02-12,1398.0,1398.0,1393.5,1393.5,1389.6148681640625,13810,0.0,0.0,0.0
2009-02-13,1394.5,1395.5,1385.5,1391.5,1387.620849609375,37015,0.0,0.0,0.0
2009-02-16,1391.0,1391.0,1380.5,1380.5,1376.6510009765625,7310,0.0,0.0,0.0
2009-02-17,1359.0,1359.0,1341.5,1313.5,1309.8377685546875,40799,0.0,0.0,0.0
2009-02-18,1318.5,1318.5,1300.5,1307.0,1303.35546875,42796,0.0,0.0,0.0
2009-02-19,1324.0,1324.0,1318.0,1318.0,1314.325439453125,8177,0.0,0.0,0.0
2009-02-20,1275.0,1277.0,1261.5,1261.5,1257.9827880859375,75784,0.0,0.0,0.0
2009-02-23,1292.0,1292.0,1244.0,1234.0,1230.559326171875,11700,0.0,0.0,0.0
2009-02-24,1219.0,1233.0,1219.0,1225.0,1221.5845947265625,71226,0.0,0.0,0.0
2009-02-25,1245.5,1250.5,1234.5,1237.5,1234.0499267578125,39701,0.0,0.0,0.0
2009-02-26,1251.5,1257.0,1251.5,1255.0,1251.5008544921875,32144,0.0,0.0,0.0
2009-02-27,1233.0,1240.5,1224.5,1234.0,1230.559326171875,15267,0.0,0.0,0.0
2009-03-02,1195.5,1217.0,1194.0,1197.0,1193.6627197265625,82498,0.0,0.0,0.0
2009-03-03,1201.5,1201.5,1171.0,1172.0,1168.732177734375,2372261,0.0,0.0,0.0
2009-03-04,1180.0,1208.5,1180.0,1208.5,1205.1309814453125,78222,0.0,0.0,0.0
2009-03-05,1183.5,1188.5,1161.5,1161.5,1158.26123046875,22337,0.0,0.0,0.0
2009-03-06,1163.5,1168.5,1147.5,1155.0,1151.7802734375,17915,0.0,0.0,0.0
2009-03-09,1145.0,1155.0,1145.0,1173.5,1170.22802734375,12775,0.0,0.0,0.0
2009-03-10,1190.0,1240.0,1188.0,1242.0,1238.537353515625,71655,0.0,0.0,0.0
2009-03-11,1249.0,1276.0,1243.0,1265.5,1261.9716796875,14440,0.0,0.0,0.0
2009-03-12,1251.0,1276.0,1239.0,1274.0,1270.4473876953125,6101,0.0,0.0,0.0
2009-03-13,1287.0,1287.0,1265.5,1275.5,1271.943603515625,59134,0.0,0.0,0.0
2009-03-16,1288.0,1306.5,1282.0,1306.5,1302.8572998046875,96520,0.0,0.0,0.0
2009-03-17,1301.5,1301.5,1295.5,1300.0,1296.37548828125,10583,0.0,0.0,0.0
2009-03-18,1330.0,1337.0,1306.5,1319.5,1315.8212890625,90518,0.0,0.0,0.0
2009-03-19,1336.0,1359.5,1328.0,1335.0,1331.27783203125,248285,0.0,0.0,0.0
2009-03-20,1322.0,1341.0,1318.0,1337.5,1333.771240234375,193013,0.0,0.0,0.0
2009-03-23,1360.5,1368.5,1343.0,1367.5,1363.687744140625,16650,0.0,0.0,0.0
2009-03-24,1383.0,1383.0,1343.0,1348.5,1344.740234375,748150,0.0,0.0,0.0
2009-03-25,1352.0,1382.5,1352.0,1377.5,1373.6590576171875,75589,0.0,0.0,0.0
2009-03-26,1378.5,1390.5,1378.5,1390.5,1386.623291015625,24434,0.0,0.0,0.0
2009-03-27,1381.0,1382.5,1348.0,1357.0,1353.216796875,23898,0.0,0.0,0.0
2009-03-30,1323.0,1327.0,1305.0,1305.0,1301.362060546875,32843,0.0,0.0,0.0
2009-03-31,1324.5,1342.0,1322.5,1340.0,1336.2642822265625,88059,0.0,0.0,0.0
