Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2009-01-02,655.0,668.0,649.0,668.0,666.75146484375,145545,0.0,0.0,0.0
2009-01-05,652.5,652.5,641.0,644.0,642.796142578125,316708,0.0,0.0,0.0
2009-01-06,635.0,639.0,625.5,626.0,624.8299560546875,382285,0.0,0.0,0.0
2009-01-07,620.0,636.0,605.0,608.5,607.3626708984375,346222,0.0,0.0,0.0
2009-01-08,605.0,614.0,598.0,610.5,609.3588256835938,1052794,0.0,0.0,0.0
2009-01-09,604.0,606.5,582.0,599.5,598.3792724609375,413064,0.0,0.0,0.0
2009-01-12,609.5,611.5,607.5,610.5,609.3588256835938,295796,0.0,0.0,0.0
2009-01-13,600.5,609.0,598.5,607.5,606.3646240234375,162761,0.0,0.0,0.0
2009-01-14,604.5,605.0,585.0,587.5,586.4019165039062,658794,0.0,0.0,0.0
2009-01-15,603.0,603.0,586.5,588.0,586.90087890625,122226,0.0,0.0,0.0
2009-01-16,596.5,599.0,585.0,586.5,585.4036254882812,489795,0.0,0.0,0.0
2009-01-19,599.5,600.5,592.0,592.0,590.8934936523438,12945,0.0,0.0,0.0
2009-01-20,614.5,627.0,603.5,613.0,611.854248046875,541085,0.0,0.0,0.0
2009-01-21,613.0,624.0,605.0,624.0,622.83349609375,109684,0.0,0.0,0.0
2009-01-22,618.5,627.5,609.0,609.0,607.861572265625,56034,0.0,0.0,0.0
2009-01-23,616.5,617.0,607.5,614.0,612.8522338867188,267383,0.0,0.0,0.0
2009-01-26,611.0,616.0,602.0,616.0,614.8485717773438,107756,0.0,0.0,0.0
2009-01-27,618.0,625.0,617.5,622.0,620.83740234375,381876,0.0,0.0,0.0
2009-01-28,623.0,624.0,618.0,624.0,622.83349609375,640662,0.0,0.0,0.0
2009-01-29,619.5,620.5,606.0,606.0,604.8672485351562,216646,0.0,0.0,0.0
2009-01-30,576.0,603.5,576.0,589.0,587.8988647460938,239608,0.0,0.0,0.0
2009-02-02,615.5,615.5,587.5,590.0,588.8971557617188,563768,0.0,0.0,0.0
2009-02-03,588.0,597.0,588.0,593.0,591.8916625976562,640293,0.0,0.0,0.0
2009-02-04,596.5,602.0,595.0,598.0,596.8821411132812,1414700,0.0,0.0,0.0
2009-02-05,595.0,595.5,580.0,584.0,582.9083251953125,261269,0.0,0.0,0.0
2009-02-06,575.0,589.0,575.0,583.0,581.91015625,246471,0.0,0.0,0.0
2009-02-09,566.5,574.5,561.5,571.0,569.9326171875,1262601,0.0,0.0,0.0
2009-02-10,562.0,572.0,561.5,561.5,560.450439453125,85964,0.0,0.0,0.0
2009-02-11,574.5,577.5,550.0,574.5,573.4261474609375,221285,0.0,0.0,0.0
2009-02-12,578.5,580.0,558.0,568.5,567.437255859375,248916,0.0,0.0,0.0
2009-02-13,567.5,569.5,559.5,562.0,560.949462890625,268467,0.0,0.0,0.0
2009-02-16,572.5,573.5,566.5,566.5,565.44091796875,263646,0.0,0.0,0.0
2009-02-17,562.5,564.5,542.5,544.0,542.983154296875,275369,0.0,0.0,0.0
2009-02-18,558.0,558.0,549.0,548.5,547.4747314453125,805416,0.0,0.0,0.0
2009-02-19,547.0,548.0,530.0,543.0,541.985107421875,816845,0.0,0.0,0.0
2009-02-20,532.0,532.0,519.5,519.5,518.5291137695312,116731,0.0,0.0,0.0
2009-02-23,530.0,530.0,509.5,509.0,508.0484924316406,209347,0.0,0.0,0.0
2009-02-24,515.0,515.0,500.0,508.0,507.0504455566406,507711,0.0,0.0,0.0
2009-02-25,518.0,524.5,518.0,516.5,515.5345458984375,726178,0.0,0.0,0.0
2009-02-26,521.5,521.5,515.0,516.5,515.5345458984375,122937,0.0,0.0,0.0
2009-02-27,527.0,530.0,515.5,518.0,517.03173828125,422153,0.0,0.0,0.0
2009-03-02,511.0,518.0,511.0,513.5,512.5401611328125,649303,0.0,0.0,0.0
2009-03-03,511.5,513.5,500.0,500.0,499.06536865234375,571062,0.0,0.0,0.0
2009-03-04,514.0,514.5,507.0,512.0,511.04290771484375,700070,0.0,0.0,0.0
2009-03-05,507.5,508.0,500.0,500.0,499.06536865234375,757812,0.0,0.0,0.0
2009-03-06,502.0,505.5,495.0,499.0,498.0672912597656,127419,0.0,0.0,0.0
2009-03-09,491.5,503.0,488.0,499.5,498.56634521484375,168543,0.0,0.0,0.0
2009-03-10,500.5,521.5,500.5,522.0,521.0244140625,93905,0.0,0.0,0.0
2009-03-11,516.5,526.0,514.0,520.0,519.0278930664062,269935,0.0,0.0,0.0
2009-03-12,507.5,516.0,505.5,515.5,514.5364379882812,336536,0.0,0.0,0.0
2009-03-13,523.0,524.0,512.0,512.0,511.04290771484375,227998,0.0,0.0,0.0
2009-03-16,525.0,536.0,524.0,536.0,534.998046875,62233,0.0,0.0,0.0
2009-03-17,527.5,536.0,527.5,536.0,534.998046875,389392,0.0,0.0,0.0
2009-03-18,542.5,546.5,542.0,540.0,538.9906616210938,1111148,0.0,0.0,0.0
2009-03-19,543.5,548.0,541.0,542.5,541.4859619140625,850901,0.0,0.0,0.0
2009-03-20,536.5,539.0,531.0,535.0,533.9998779296875,87335,0.0,0.0,0.0
2009-03-23,554.0,560.0,540.5,560.0,558.9532470703125,423242,0.0,0.0,0.0
2009-03-24,552.5,552.5,542.0,546.5,545.4784545898438,657372,0.0,0.0,0.0
2009-03-25,554.0,565.5,550.0,562.5,561.4486694335938,308674,0.0,0.0,0.0
2009-03-26,574.0,574.0,560.0,573.5,572.427978515625,839584,0.0,0.0,0.0
2009-03-27,573.0,577.5,570.0,570.0,568.9346313476562,427481,0.0,0.0,0.0
2009-03-30,566.0,566.0,551.5,551.5,550.468994140625,384539,0.0,0.0,0.0
2009-03-31,545.0,548.5,543.0,547.5,546.4766235351562,417305,0.0,0.0,0.0
2009-04-01,553.0,557.0,546.0,554.5,553.463623046875,2554157,0.0,0.0,0.0
2009-04-02,565.0,571.0,561.5,567.5,566.4392700195312,287869,0.0,0.0,0.0
2009-04-03,564.5,570.0,556.5,559.5,558.4542236328125,253694,0.0,0.0,0.0
2009-04-06,544.5,554.0,544.0,554.0,552.9644165039062,294120,0.0,0.0,0.0
2009-04-07,563.0,563.0,549.0,551.0,549.97021484375,154202,0.0,0.0,0.0
2009-04-08,550.5,559.0,549.5,559.0,557.955078125,395792,0.0,0.0,0.0
2009-04-09,566.0,575.0,566.0,574.5,573.4261474609375,16351,0.0,0.0,0.0
2009-04-14,565.0,568.5,563.0,565.0,563.9437866210938,165388,0.0,0.0,0.0
2009-04-15,560.5,562.5,555.5,557.5,556.4580078125,118056,0.0,0.0,0.0
2009-04-16,559.5,566.5,556.0,566.5,565.44091796875,111891,0.0,0.0,0.0
2009-04-17,570.0,576.5,570.0,573.5,572.427978515625,163989,0.0,0.0,0.0
2009-04-20,582.0,583.5,571.5,575.0,573.9253540039062,74956,0.0,0.0,0.0
2009-04-21,575.0,580.0,567.0,572.0,570.930908203125,200020,0.0,0.0,0.0
2009-04-22,570.0,585.0,567.5,588.0,586.90087890625,195420,0.0,0.0,0.0
2009-04-23,584.0,585.5,576.0,577.5,576.4205322265625,147469,0.0,0.0,0.0
2009-04-24,584.5,590.0,580.0,587.5,586.4019165039062,65893,0.0,0.0,0.0
2009-04-27,586.5,589.5,583.5,589.5,588.398193359375,2985857,0.0,0.0,0.0
2009-04-28,579.5,585.0,573.5,578.0,576.919677734375,2597712,0.0,0.0,0.0
2009-04-29,577.0,582.0,575.5,581.0,579.913818359375,167709,0.0,0.0,0.0
2009-04-30,581.0,586.0,577.5,577.5,576.4205322265625,97902,0.0,0.0,0.0
2009-05-01,577.5,577.5,574.0,576.5,575.4223022460938,228568,0.0,0.0,0.0
2009-05-05,583.5,590.0,577.0,583.5,582.4094848632812,111286,0.0,0.0,0.0
2009-05-06,584.0,595.0,581.5,593.0,591.8916625976562,365146,0.0,0.0,0.0
2009-05-07,592.5,598.0,588.5,587.5,586.4019165039062,1952380,0.0,0.0,0.0
2009-05-08,598.5,605.0,596.0,598.5,597.3812866210938,302245,0.0,0.0,0.0
2009-05-11,596.5,603.0,594.0,599.5,598.3792724609375,150226,0.0,0.0,0.0
2009-05-12,598.0,599.5,595.0,595.0,593.8878173828125,932762,0.0,0.0,0.0
2009-05-13,601.5,605.5,592.5,593.5,592.390625,91079,0.0,0.0,0.0
2009-05-14,592.0,594.5,590.0,592.0,590.8934936523438,227005,0.0,0.0,0.0
2009-05-15,599.5,608.0,597.0,600.5,599.3775634765625,247069,0.0,0.0,0.0
