Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2009-01-02,446.25,458.5,444.5,458.5,456.17279052734375,3492665,0.0,0.0,0.0
2009-01-05,460.0,462.25,453.75,460.25,457.9139099121094,8843876,0.0,0.0,0.0
2009-01-06,462.0,470.0,458.0,465.5,463.13726806640625,10981299,0.0,0.0,0.0
2009-01-07,467.0,467.0,449.75,451.5,449.2083435058594,10084698,0.0,0.0,0.0
2009-01-08,445.75,453.5,443.0,452.25,449.9544677734375,7024435,0.0,0.0,0.0
2009-01-09,450.75,455.25,444.5,446.75,444.4823913574219,10853958,0.0,0.0,0.0
2009-01-12,450.0,450.0,442.0,443.75,441.49761962890625,4707321,0.0,0.0,0.0
2009-01-13,441.0,441.5,432.75,441.0,438.761474609375,22960920,0.0,0.0,0.0
2009-01-14,442.75,443.25,413.0,419.5,417.3707275390625,12177127,0.0,0.0,0.0
2009-01-15,429.0,429.0,410.75,414.0,411.8985900878906,8789037,0.0,0.0,0.0
2009-01-16,421.0,427.0,416.75,416.75,414.6346130371094,6888504,0.0,0.0,0.0
2009-01-19,423.75,427.0,405.0,413.0,410.9037780761719,17903600,0.0,0.0,0.0
2009-01-20,412.25,420.25,407.75,410.25,408.16766357421875,11130857,0.0,0.0,0.0
2009-01-21,407.5,413.25,402.0,408.5,406.4264831542969,18203504,0.0,0.0,0.0
2009-01-22,415.0,417.0,407.0,408.0,405.9290771484375,8176606,0.0,0.0,0.0
2009-01-23,406.25,409.0,397.25,406.5,404.4367370605469,14078119,0.0,0.0,0.0
2009-01-26,411.25,424.0,405.0,423.0,420.85296630859375,10906288,0.0,0.0,0.0
2009-01-27,423.0,423.0,414.5,421.25,419.1118469238281,8396176,0.0,0.0,0.0
2009-01-28,425.0,433.5,424.75,431.25,429.0611267089844,16005774,0.0,0.0,0.0
2009-01-29,428.25,428.5,416.5,421.0,418.8631591796875,17609322,0.0,0.0,0.0
2009-01-30,420.25,424.5,414.5,416.75,414.6346130371094,8246634,0.0,0.0,0.0
2009-02-02,412.5,413.5,405.25,410.0,407.9189453125,12554344,0.0,0.0,0.0
2009-02-03,412.0,419.0,406.0,418.0,415.8783264160156,11565226,0.0,0.0,0.0
2009-02-04,419.5,429.25,419.25,426.0,423.8377380371094,9393838,0.0,0.0,0.0
2009-02-05,419.0,426.5,416.5,426.25,424.0865173339844,5906146,0.0,0.0,0.0
2009-02-06,425.25,436.75,425.25,432.5,430.30474853515625,15693473,0.0,0.0,0.0
2009-02-09,435.5,436.5,427.5,434.25,432.0458068847656,7733725,0.0,0.0,0.0
2009-02-10,430.0,433.75,424.25,425.0,422.8428649902344,8084216,0.0,0.0,0.0
2009-02-11,423.25,427.5,421.25,426.25,424.0865173339844,11940567,0.0,0.0,0.0
2009-02-12,423.0,423.25,416.25,423.25,421.1016845703125,10356972,0.0,0.0,0.0
2009-02-13,428.75,432.0,420.0,421.5,419.36065673828125,7450903,0.0,0.0,0.0
2009-02-16,418.75,421.25,415.5,416.0,413.8884582519531,2826890,0.0,0.0,0.0
2009-02-17,413.25,413.75,402.25,406.0,403.9391784667969,10639860,0.0,0.0,0.0
