Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2009-01-02,621.5,635.0,621.0,635.0,633.912841796875,318431,0.0,0.0,0.0
2009-01-05,642.0,643.0,635.0,638.5,637.4066162109375,561042,0.0,0.0,0.0
2009-01-06,635.0,647.5,632.0,632.0,630.9180908203125,400592,0.0,0.0,0.0
2009-01-07,624.5,625.0,601.0,603.5,602.466552734375,795643,0.0,0.0,0.0
2009-01-08,601.5,606.5,587.5,593.5,592.4837036132812,1436452,0.0,0.0,0.0
2009-01-09,599.0,612.0,587.5,589.0,587.9916381835938,1534932,0.0,0.0,0.0
2009-01-12,590.0,596.0,588.5,590.0,588.9898681640625,511907,0.0,0.0,0.0
2009-01-13,592.5,601.0,589.5,601.5,600.4701538085938,672642,0.0,0.0,0.0
2009-01-14,599.0,599.0,575.0,577.5,576.5112915039062,694890,0.0,0.0,0.0
2009-01-15,590.0,590.0,564.5,566.5,565.5302734375,942753,0.0,0.0,0.0
2009-01-16,572.0,575.5,569.0,569.5,568.5250244140625,836898,0.0,0.0,0.0
2009-01-19,585.5,585.5,577.0,584.5,583.4992065429688,825054,0.0,0.0,0.0
2009-01-20,597.0,607.0,591.5,592.0,590.986328125,551463,0.0,0.0,0.0
2009-01-21,586.0,594.5,585.0,590.5,589.4888916015625,2737474,0.0,0.0,0.0
2009-01-22,603.5,607.0,593.5,591.5,590.4871826171875,542095,0.0,0.0,0.0
2009-01-23,598.0,601.0,587.5,601.0,599.97119140625,693110,0.0,0.0,0.0
2009-01-26,601.5,611.0,595.0,607.0,605.9606323242188,1101712,0.0,0.0,0.0
2009-01-27,596.5,601.0,590.0,595.5,594.48046875,993105,0.0,0.0,0.0
2009-01-28,604.0,606.5,600.5,606.0,604.9624633789062,4265271,0.0,0.0,0.0
2009-01-29,614.0,614.0,600.0,600.5,599.4718017578125,2261314,0.0,0.0,0.0
2009-01-30,598.5,599.0,577.0,578.0,577.0103759765625,777696,0.0,0.0,0.0
2009-02-02,575.5,580.0,571.0,578.0,577.0103759765625,848060,0.0,0.0,0.0
2009-02-03,579.0,583.0,573.5,577.0,576.011962890625,2350726,0.0,0.0,0.0
2009-02-04,579.0,586.0,579.0,584.5,583.4992065429688,1863137,0.0,0.0,0.0
2009-02-05,575.0,576.5,562.5,574.0,573.0173950195312,1908989,0.0,0.0,0.0
2009-02-06,573.5,587.0,570.0,586.0,584.9967041015625,1090642,0.0,0.0,0.0
2009-02-09,584.0,588.0,578.0,583.0,582.0018310546875,652567,0.0,0.0,0.0
2009-02-10,580.5,589.5,571.0,571.0,570.0223999023438,607819,0.0,0.0,0.0
2009-02-11,578.0,583.0,574.0,582.5,581.5028076171875,869956,0.0,0.0,0.0
2009-02-12,580.0,582.5,572.5,576.0,575.013916015625,3703930,0.0,0.0,0.0
2009-02-13,581.0,582.0,576.0,578.5,577.5094604492188,421363,0.0,0.0,0.0
2009-02-16,576.5,578.0,570.0,572.0,571.0206909179688,949520,0.0,0.0,0.0
2009-02-17,571.0,571.0,556.5,559.0,558.0429077148438,368456,0.0,0.0,0.0
2009-02-18,559.5,561.5,553.0,558.0,557.044677734375,845217,0.0,0.0,0.0
2009-02-19,550.5,556.0,549.0,552.5,551.5541381835938,343721,0.0,0.0,0.0
2009-02-20,546.5,547.0,535.0,535.0,534.0843505859375,1016138,0.0,0.0,0.0
2009-02-23,539.5,543.0,523.5,523.5,522.6036987304688,606582,0.0,0.0,0.0
2009-02-24,520.0,525.5,515.5,521.5,520.6070556640625,3171096,0.0,0.0,0.0
2009-02-25,537.5,537.5,523.5,531.5,530.5899047851562,937009,0.0,0.0,0.0
2009-02-26,540.5,541.5,536.0,537.0,536.0806274414062,1146632,0.0,0.0,0.0
2009-02-27,529.5,529.5,517.0,519.5,518.6105346679688,918378,0.0,0.0,0.0
2009-03-02,504.5,511.0,501.5,507.0,506.1320495605469,3112786,0.0,0.0,0.0
2009-03-03,504.5,505.0,493.5,494.0,493.1542663574219,1967345,0.0,0.0,0.0
2009-03-04,496.0,502.5,494.0,501.5,500.6413879394531,1427737,0.0,0.0,0.0
2009-03-05,497.5,497.5,486.0,487.0,486.1661682128906,740016,0.0,0.0,0.0
2009-03-06,480.0,487.0,476.0,480.5,479.6773376464844,1276757,0.0,0.0,0.0
2009-03-09,485.5,499.5,480.0,495.5,494.65167236328125,676710,0.0,0.0,0.0
2009-03-10,495.0,515.0,492.5,515.0,514.1182861328125,1358163,0.0,0.0,0.0
2009-03-11,520.5,528.5,518.0,522.5,521.60546875,1209277,0.0,0.0,0.0
2009-03-12,517.0,532.5,516.0,532.0,531.089111328125,812504,0.0,0.0,0.0
2009-03-13,543.0,543.0,531.0,532.0,531.089111328125,1668782,0.0,0.0,0.0
2009-03-16,539.02001953125,546.0,537.5,546.0,545.0655517578125,591497,0.0,0.0,0.0
2009-03-17,537.5,543.5,535.5,543.5,542.5695190429688,2053606,0.0,0.0,0.0
2009-03-18,555.5,558.5,547.0,552.0,551.0551147460938,2364539,0.0,0.0,0.0
2009-03-19,553.5,554.5,535.0,537.5,536.5797119140625,4736115,0.0,0.0,0.0
2009-03-20,531.0,546.5,531.0,541.0,540.07373046875,2295180,0.0,0.0,0.0
2009-03-23,540.0,555.0,536.0,553.5,552.5524291992188,2481799,0.0,0.0,0.0
2009-03-24,569.0,569.0,550.0,554.0,553.0516967773438,2946566,0.0,0.0,0.0
2009-03-25,551.0,565.5,551.0,561.0,560.0396118164062,1988379,0.0,0.0,0.0
2009-03-26,562.5,568.0,560.0,568.0,567.0277099609375,1087288,0.0,0.0,0.0
2009-03-27,570.0,580.0,568.0,573.5,572.5181274414062,1331734,0.0,0.0,0.0
2009-03-30,566.0,566.5,551.0,551.0,550.0565185546875,1001612,0.0,0.0,0.0
2009-03-31,554.0,556.5,552.0,555.0,554.0497436523438,1108285,0.0,0.0,0.0
2009-04-01,552.0,557.0,545.5,555.0,554.0497436523438,1693787,0.0,0.0,0.0
2009-04-02,565.0,570.0,560.5,568.5,567.526611328125,2248439,0.0,0.0,0.0
2009-04-03,567.5,570.0,557.5,560.0,559.0411987304688,1542102,0.0,0.0,0.0
2009-04-06,564.0,568.5,558.0,561.5,560.5387573242188,1403794,0.0,0.0,0.0
2009-04-07,566.5,566.5,554.5,557.0,556.04638671875,1443701,0.0,0.0,0.0
2009-04-08,549.5,559.5,549.5,559.0,558.0429077148438,962363,0.0,0.0,0.0
2009-04-09,564.5,578.5,563.0,577.0,576.011962890625,1386941,0.0,0.0,0.0
2009-04-14,570.5,576.5,566.5,571.0,570.0223999023438,673837,0.0,0.0,0.0
2009-04-15,565.0,566.0,558.5,561.5,560.5387573242188,928467,0.0,0.0,0.0
2009-04-16,566.5,574.5,563.5,571.0,570.0223999023438,647672,0.0,0.0,0.0
2009-04-17,583.0,586.5,577.5,583.0,582.0018310546875,1446125,0.0,0.0,0.0
2009-04-20,587.5,590.0,577.0,578.0,577.0103759765625,488410,0.0,0.0,0.0
2009-04-21,578.5,578.5,565.5,571.5,570.521728515625,1369680,0.0,0.0,0.0
2009-04-22,576.0,589.5,575.0,589.5,588.49072265625,812654,0.0,0.0,0.0
2009-04-23,580.0,584.0,570.5,572.0,571.0206909179688,946360,0.0,0.0,0.0
2009-04-24,577.5,587.0,577.5,587.0,585.994873046875,1538787,0.0,0.0,0.0
2009-04-27,584.5,590.5,582.5,589.0,587.9916381835938,644639,0.0,0.0,0.0
2009-04-28,579.5,586.5,576.0,585.5,584.4977416992188,931401,0.0,0.0,0.0
2009-04-29,583.5,590.0,582.0,588.0,586.9932861328125,2386819,0.0,0.0,0.0
2009-04-30,590.0,601.0,590.0,597.0,595.9777221679688,1804754,0.0,0.0,0.0
2009-05-01,588.0,592.5,583.5,585.0,583.998291015625,1524051,0.0,0.0,0.0
2009-05-05,599.0,601.5,594.0,596.5,595.4788818359375,1118827,0.0,0.0,0.0
2009-05-06,596.5,606.0,595.0,602.0,600.96923828125,1355859,0.0,0.0,0.0
2009-05-07,606.5,620.0,605.5,607.0,605.9606323242188,2384503,0.0,0.0,0.0
2009-05-08,609.5,613.5,606.5,608.0,606.9590454101562,736820,0.0,0.0,0.0
2009-05-11,605.5,608.0,603.0,603.0,601.9676513671875,637714,0.0,0.0,0.0
2009-05-12,599.5,602.0,592.0,592.5,591.4857177734375,502334,0.0,0.0,0.0
2009-05-13,595.5,599.0,587.0,587.0,585.994873046875,420236,0.0,0.0,0.0
2009-05-14,586.0,588.5,583.0,587.0,585.994873046875,1551156,0.0,0.0,0.0
2009-05-15,587.5,590.0,582.5,584.5,583.4992065429688,578643,0.0,0.0,0.0
2009-05-18,582.0,588.0,581.0,588.0,586.9932861328125,555755,0.0,0.0,0.0
2009-05-19,591.0,593.0,586.5,588.5,587.492431640625,927605,0.0,0.0,0.0
2009-05-20,591.0,592.0,585.0,585.5,584.4977416992188,661583,0.0,0.0,0.0
2009-05-21,571.0,577.0,563.5,565.0,564.0328369140625,2331415,0.0,0.0,0.0
2009-05-22,561.5,567.0,557.5,562.5,561.5369873046875,1246793,0.0,0.0,0.0
2009-05-26,558.0,568.5,556.0,568.0,567.0277099609375,794568,0.0,0.0,0.0
2009-05-27,567.5,569.0,564.5,567.0,566.0291748046875,1121791,0.0,0.0,0.0
2009-05-28,560.5,564.0,555.5,561.0,560.0396118164062,1080591,0.0,0.0,0.0
2009-05-29,566.0,566.0,559.5,559.5,558.5421142578125,2881083,0.0,0.0,0.0
2009-06-01,569.0,573.0,566.5,572.0,571.0206909179688,909850,0.0,0.0,0.0
2009-06-02,570.0,573.5,568.0,568.5,567.526611328125,775392,0.0,0.0,0.0
2009-06-03,566.5,568.5,563.5,567.0,566.0291748046875,850168,0.0,0.0,0.0
2009-06-04,571.5,577.5,568.5,575.5,574.5147705078125,1269012,0.0,0.0,0.0
2009-06-05,587.0,593.0,584.5,587.25,586.2445678710938,819513,0.0,0.0,0.0
2009-06-08,588.75,590.0,581.5,581.0,580.0053100585938,1027556,0.0,0.0,0.0
2009-06-09,580.25,581.5,573.75,574.75,573.765869140625,2218869,0.0,0.0,0.0
2009-06-10,579.0,582.0,572.0,573.75,572.7676391601562,419690,0.0,0.0,0.0
2009-06-11,572.75,574.0,569.5,571.5,570.521728515625,486932,0.0,0.0,0.0
2009-06-12,567.5,573.0,567.5,568.75,567.7760620117188,3927332,0.0,0.0,0.0
2009-06-15,571.0,572.75,563.75,564.5,563.5333251953125,756545,0.0,0.0,0.0
2009-06-16,563.75,563.75,559.25,559.75,558.7916259765625,528123,0.0,0.0,0.0
2009-06-17,556.25,561.25,554.25,556.5,555.54736328125,714888,0.0,0.0,0.0
2009-06-18,556.25,561.25,554.0,558.5,557.5439453125,1152414,0.0,0.0,0.0
2009-06-19,559.0,559.0,559.0,559.75,558.7916259765625,818766,0.0,0.0,0.0
2009-06-22,557.2999877929688,557.2999877929688,557.2999877929688,548.0,547.061767578125,606422,0.0,0.0,0.0
2009-06-23,547.0,547.0,547.0,544.0,543.0686645507812,1243415,0.0,0.0,0.0
2009-06-24,543.0,549.75,538.25,549.0,548.06005859375,1738297,0.0,0.0,0.0
2009-06-25,552.0,558.0,549.75,558.0,557.044677734375,1136252,0.0,0.0,0.0
2009-06-26,558.75,558.75,552.0,553.25,552.3026733398438,492365,0.0,0.0,0.0
2009-06-29,553.0,559.0,553.0,558.5,557.5439453125,395622,0.0,0.0,0.0
2009-06-30,552.5,561.0,552.5,554.25,553.30126953125,865310,0.0,0.0,0.0
2009-07-01,562.25,562.75,557.25,561.75,560.7882690429688,379768,0.0,0.0,0.0
2009-07-02,559.25,561.0,549.0,549.5,548.5591430664062,1073664,0.0,0.0,0.0
2009-07-03,548.75,550.0,547.25,549.5,548.5591430664062,281631,0.0,0.0,0.0
2009-07-06,549.75,551.0,547.25,548.0,547.061767578125,706656,0.0,0.0,0.0
2009-07-07,552.5,555.5,550.0,550.25,549.3079833984375,2112590,0.0,0.0,0.0
2009-07-08,548.5,549.75,546.0,545.5,544.56591796875,873162,0.0,0.0,0.0
2009-07-09,547.0,547.25,541.25,542.25,541.3215942382812,986516,0.0,0.0,0.0
2009-07-10,539.75,542.5,539.0,539.75,538.825927734375,1742993,0.0,0.0,0.0
2009-07-13,540.75,549.0,540.75,550.5,549.5574951171875,421018,0.0,0.0,0.0
2009-07-14,553.25,554.5,550.25,553.75,552.8020629882812,1334873,0.0,0.0,0.0
2009-07-15,555.75,562.0,555.75,562.25,561.2874145507812,422932,0.0,0.0,0.0
2009-07-16,565.0,567.75,564.0,565.0,564.0328369140625,1035836,0.0,0.0,0.0
2009-07-17,573.25,576.5,571.75,572.75,571.7694091796875,725565,0.0,0.0,0.0
2009-07-20,574.5,574.5,570.75,572.25,571.2702026367188,1114990,0.0,0.0,0.0
2009-07-21,575.75,581.25,575.5,577.75,576.7608642578125,505975,0.0,0.0,0.0
2009-07-22,581.25,583.0,578.0,580.5,579.50634765625,6410589,0.0,0.0,0.0
2009-07-23,579.25,589.0,577.5,588.0,586.9932861328125,1672032,0.0,0.0,0.0
2009-07-24,585.75,593.5,585.75,591.0,589.9883422851562,6293751,0.0,0.0,0.0
2009-07-27,595.75,597.75,590.25,592.5,591.4857177734375,2301913,0.0,0.0,0.0
2009-07-28,593.0,594.5,591.5,591.5,590.4871826171875,1212749,0.0,0.0,0.0
2009-07-29,591.25,596.5,591.0,593.0,591.9845581054688,707285,0.0,0.0,0.0
2009-07-30,597.25,603.25,594.25,602.75,601.71826171875,1449178,0.0,0.0,0.0
2009-07-31,597.75,599.5,595.0,593.0,591.9845581054688,849822,0.0,0.0,0.0
2009-08-03,590.75,593.75,588.5,589.25,588.2413330078125,783975,0.0,0.0,0.0
2009-08-04,589.0,592.0,587.5,591.25,590.2379150390625,601211,0.0,0.0,0.0
2009-08-05,591.0,594.25,587.0,587.25,586.2445678710938,1619905,0.0,0.0,0.0
2009-08-06,590.5,597.75,590.0,594.75,593.7316284179688,650025,0.0,0.0,0.0
2009-08-07,594.25,606.5,592.75,606.5,605.4617919921875,629953,0.0,0.0,0.0
2009-08-10,604.75,611.75,604.0,610.75,609.7042236328125,569715,0.0,0.0,0.0
2009-08-11,612.75,615.0,602.5,602.5,601.468505859375,295187,0.0,0.0,0.0
2009-08-12,603.5,609.25,602.25,609.25,608.2070922851562,513820,0.0,0.0,0.0
2009-08-13,610.0,612.0,604.5,608.0,606.9590454101562,688845,0.0,0.0,0.0
2009-08-14,611.0,615.75,603.0,602.5,601.468505859375,476700,0.0,0.0,0.0
2009-08-17,607.75,608.75,601.5,602.0,600.96923828125,992066,0.0,0.0,0.0
2009-08-18,601.75,601.75,596.0,596.75,595.7282104492188,504697,0.0,0.0,0.0
2009-08-19,596.25,600.0,595.5,598.75,597.7247924804688,544643,0.0,0.0,0.0
2009-08-20,606.0,610.5,605.25,608.75,607.707763671875,649511,0.0,0.0,0.0
2009-08-21,611.25,621.0,610.75,621.0,619.936767578125,549228,0.0,0.0,0.0
2009-08-24,626.25,631.25,624.0,630.0,628.9214477539062,857691,0.0,0.0,0.0
2009-08-25,627.0,632.0,627.0,632.0,630.9180908203125,295031,0.0,0.0,0.0
2009-08-26,628.0,634.75,627.5,631.25,630.1692504882812,514219,0.0,0.0,0.0
2009-08-27,632.5,633.75,627.0,628.25,627.1743774414062,438734,0.0,0.0,0.0
2009-08-28,630.5,633.5,629.0,629.5,628.4221801757812,259043,0.0,0.0,0.0
2009-09-01,625.0,630.25,620.0,620.25,619.188232421875,488893,0.0,0.0,0.0
2009-09-02,616.75,617.5,610.25,612.25,611.2015991210938,508222,0.0,0.0,0.0
2009-09-03,610.75,611.0,606.25,608.75,607.707763671875,492076,0.0,0.0,0.0
2009-09-04,611.5,615.0,611.5,614.25,613.1984252929688,623073,0.0,0.0,0.0
2009-09-07,618.25,623.75,616.5,623.75,622.6822509765625,831144,0.0,0.0,0.0
2009-09-08,622.5,622.5,614.75,617.25,616.1931762695312,1472361,0.0,0.0,0.0
2009-09-09,615.75,620.75,615.75,622.0,620.9351806640625,419126,0.0,0.0,0.0
2009-09-10,625.5,626.5,617.75,620.0,618.9384765625,1200176,0.0,0.0,0.0
2009-09-11,621.5,625.5,621.25,623.75,622.6822509765625,1393027,0.0,0.0,0.0
2009-09-14,621.75,626.25,621.5,626.25,625.1773681640625,715591,0.0,0.0,0.0
2009-09-15,629.0,637.0,626.5,636.25,635.16064453125,707831,0.0,0.0,0.0
2009-09-16,638.0,640.5,637.0,640.25,639.1539916992188,656798,0.0,0.0,0.0
2009-09-17,645.75,648.5,643.25,646.25,645.1438598632812,613162,0.0,0.0,0.0
2009-09-18,649.5,654.5,649.0,653.25,652.1316528320312,662469,0.0,0.0,0.0
2009-09-21,655.5,655.5,651.25,654.5,653.3792724609375,892622,0.0,0.0,0.0
2009-09-22,654.25,656.5,650.75,651.25,650.135009765625,1718002,0.0,0.0,0.0
2009-09-23,653.0,655.5,649.0,650.0,648.8870239257812,1889684,0.0,0.0,0.0
2009-09-24,646.5,657.25,645.0,652.0,650.8836669921875,1718671,0.0,0.0,0.0
2009-09-25,655.75,656.25,653.0,653.25,652.1316528320312,1531198,0.0,0.0,0.0
2009-09-28,657.75,666.5,654.75,666.25,665.1094360351562,782929,0.0,0.0,0.0
2009-09-29,666.5,669.5,662.25,664.0,662.8630981445312,513900,0.0,0.0,0.0
2009-09-30,659.25,662.75,653.0,656.25,655.1263427734375,1262725,0.0,0.0,0.0
2009-10-01,660.5,660.75,647.0,647.0,645.8921508789062,1550070,0.0,0.0,0.0
2009-10-02,645.75,647.5,638.75,643.0,641.8988647460938,1825192,0.0,0.0,0.0
2009-10-05,642.75,648.25,642.5,648.25,647.1400146484375,446805,0.0,0.0,0.0
2009-10-06,649.5,663.0,649.0,662.75,661.6152954101562,687973,0.0,0.0,0.0
2009-10-07,662.25,664.0,659.75,661.0,659.8681640625,951665,0.0,0.0,0.0
2009-10-08,664.5,665.25,661.0,662.25,661.1162109375,1336905,0.0,0.0,0.0
2009-10-09,664.25,669.75,663.75,670.5,669.3519287109375,497562,0.0,0.0,0.0
2009-10-12,677.75,682.0,677.75,681.25,680.0838012695312,398680,0.0,0.0,0.0
2009-10-13,680.75,682.0,673.5,673.5,672.346923828125,1907400,0.0,0.0,0.0
2009-10-14,676.25,679.0,675.5,680.25,679.0853271484375,825874,0.0,0.0,0.0
2009-10-15,675.25,676.0,666.5,667.75,666.606689453125,763334,0.0,0.0,0.0
2009-10-16,672.75,672.75,662.0,661.5,660.3674926757812,653196,0.0,0.0,0.0
2009-10-19,666.75,669.75,665.0,668.0,666.856201171875,406495,0.0,0.0,0.0
2009-10-20,669.5,669.5,662.5,664.0,662.8630981445312,1109470,0.0,0.0,0.0
2009-10-21,664.0,665.75,655.25,659.0,657.8717041015625,951807,0.0,0.0,0.0
2009-10-22,648.75,652.0,648.25,650.75,649.6358032226562,349297,0.0,0.0,0.0
2009-10-23,655.75,668.75,655.75,660.75,659.6187744140625,1369471,0.0,0.0,0.0
2009-10-26,662.75,663.75,652.75,654.25,653.1298217773438,1052123,0.0,0.0,0.0
2009-10-27,652.5,653.75,649.0,652.25,651.1332397460938,1609797,0.0,0.0,0.0
2009-10-28,648.0,648.5,640.75,640.75,639.65283203125,612747,0.0,0.0,0.0
2009-10-29,637.25,638.25,633.0,638.0,636.907958984375,419208,0.0,0.0,0.0
2009-10-30,640.5,641.5,632.0,632.0,630.9180908203125,1999205,0.0,0.0,0.0
2009-11-02,634.0,639.25,634.0,638.5,637.4066162109375,769976,0.0,0.0,0.0
2009-11-03,637.0,637.0,631.25,631.25,630.1692504882812,675812,0.0,0.0,0.0
2009-11-04,635.0,638.25,634.25,636.5,635.4102172851562,521369,0.0,0.0,0.0
2009-11-05,631.0,639.75,631.0,639.75,638.65478515625,654513,0.0,0.0,0.0
2009-11-06,640.0,645.5,639.25,641.5,640.40185546875,534161,0.0,0.0,0.0
2009-11-09,639.75,647.5,639.0,647.75,646.6412353515625,682259,0.0,0.0,0.0
2009-11-10,653.75,655.0,652.5,652.75,651.63232421875,689530,0.0,0.0,0.0
2009-11-11,656.0,661.75,655.0,661.75,660.616943359375,445105,0.0,0.0,0.0
2009-11-12,663.0,664.75,659.0,660.25,659.1195068359375,503983,0.0,0.0,0.0
2009-11-13,655.0,657.0,651.0,655.5,654.3779296875,309060,0.0,0.0,0.0
2009-11-16,659.0,663.0,657.5,661.5,660.3674926757812,634057,0.0,0.0,0.0
2009-11-17,656.5,660.0,655.25,658.0,656.8735961914062,312693,0.0,0.0,0.0
2009-11-18,659.25,661.5,659.0,660.75,659.6187744140625,643983,0.0,0.0,0.0
2009-11-19,660.75,663.5,655.0,655.75,654.62744140625,887326,0.0,0.0,0.0
2009-11-20,660.0,662.5,658.25,658.5,657.3726196289062,252037,0.0,0.0,0.0
2009-11-23,665.0,669.0,663.0,667.75,666.606689453125,2022862,0.0,0.0,0.0
2009-11-24,668.5,670.25,662.75,664.75,663.6121215820312,730567,0.0,0.0,0.0
2009-11-25,662.25,663.75,660.25,663.75,662.613525390625,861077,0.0,0.0,0.0
2009-11-26,664.5,665.0,655.5,656.5,655.3759765625,578822,0.0,0.0,0.0
2009-11-27,654.5,662.5,654.5,661.5,660.3674926757812,1163936,0.0,0.0,0.0
