ticker,rows_returned,expected_sessions,duplicate_extra_rows,missing_sessions,unexpected_dates,incomplete_rows,first_session,last_session,status
450.L,0,1771,0,1771,0,0,,,failed
4BB.L,221,1771,0,1550,0,0,2021-02-17,2021-12-31,downloaded
4GBL.L,0,1771,0,1771,0,0,,,failed
80M.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
88E.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
AAU.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
AAZ.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
ABDP.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
ABDX.L,264,1771,0,1507,0,0,2020-12-15,2021-12-31,downloaded
AC8.L,0,1771,0,1771,0,0,,,failed
ACRM.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
ACSO.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
ADF.L,0,1771,0,1771,0,0,,,failed
ADVT.L,197,1771,0,1574,0,0,2021-03-23,2021-12-31,downloaded
AEG.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
AEO.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
AET.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
AFP.L,151,1771,0,1620,0,0,2021-06-01,2021-12-31,downloaded
AFRN.L,0,1771,0,1771,0,0,,,failed
AGFX.L,0,1771,0,1771,0,0,,,failed
AGI.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
AGY.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
AIEA.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
AKN.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
ALL.L,1742,1771,0,29,0,0,2015-02-12,2021-12-31,downloaded
ALT.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
ALU.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
AMCO.L,0,1771,0,1771,0,0,,,failed
AMP.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
AMS.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
ANG.L,1132,1771,0,639,0,0,2017-07-13,2021-12-31,downloaded
ANGS.L,1298,1771,0,473,0,0,2016-11-14,2021-12-31,downloaded
ANIC.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
ANP.L,1771,1771,0,0,0,0,2015-01-02,2021-12-31,downloaded
AOM.L,193,1771,0,1578,0,0,2021-03-29,2021-12-31,downloaded
AOTI.L,0,1771,0,1771,0,0,,,failed
APQ.L,0,1771,0,1771,0,0,,,failed
