ticker,status,rows,error
450.L,failed,0,No data found for ticker 450.L between 2015-01-01 and 2022-01-01
4BB.L,downloaded,221,
4GBL.L,failed,0,No data found for ticker 4GBL.L between 2015-01-01 and 2022-01-01
80M.L,downloaded,1771,
88E.L,downloaded,1771,
AAU.L,downloaded,1771,
AAZ.L,downloaded,1771,
ABDP.L,downloaded,1771,
ABDX.L,downloaded,264,
AC8.L,failed,0,No data found for ticker AC8.L between 2015-01-01 and 2022-01-01
ACRM.L,downloaded,1771,
ACSO.L,downloaded,1771,
ADF.L,failed,0,No data found for ticker ADF.L between 2015-01-01 and 2022-01-01
ADVT.L,downloaded,197,
AEG.L,downloaded,1771,
AEO.L,downloaded,1771,
AET.L,downloaded,1771,
AFP.L,downloaded,151,
AFRN.L,failed,0,No data found for ticker AFRN.L between 2015-01-01 and 2022-01-01
AGFX.L,failed,0,No data found for ticker AGFX.L between 2015-01-01 and 2022-01-01
AGI.L,downloaded,1771,
AGY.L,downloaded,1771,
AIEA.L,downloaded,1771,
AKN.L,downloaded,1771,
ALL.L,downloaded,1742,
ALT.L,downloaded,1771,
ALU.L,downloaded,1771,
AMCO.L,failed,0,No data found for ticker AMCO.L between 2015-01-01 and 2022-01-01
AMP.L,downloaded,1771,
AMS.L,downloaded,1771,
ANG.L,downloaded,1132,
ANGS.L,downloaded,1298,
ANIC.L,downloaded,1771,
ANP.L,downloaded,1771,
AOM.L,downloaded,193,
AOTI.L,failed,0,No data found for ticker AOTI.L between 2015-01-01 and 2022-01-01
APQ.L,failed,0,No data found for ticker APQ.L between 2015-01-01 and 2022-01-01
APTA.L,downloaded,6,
ARBB.L,downloaded,1771,
ARC.L,downloaded,1771,
ARCM.L,downloaded,1771,
AREC.L,downloaded,149,
ARS.L,downloaded,1771,
ART.L,downloaded,148,
AST.L,downloaded,1771,
ASY.L,downloaded,1771,
ATM.L,downloaded,1048,
ATOM.L,downloaded,2,
ATYM.L,downloaded,1771,
AURA.L,downloaded,1343,
AURR.L,failed,0,No data found for ticker AURR.L between 2015-01-01 and 2022-01-01
AUTG.L,downloaded,1357,
AVCT.L,downloaded,1771,
AVG.L,downloaded,1771,
AXL.L,downloaded,48,
AXS.L,downloaded,1771,
AYM.L,downloaded,1771,
B90.L,downloaded,1771,
BANK.L,failed,0,No data found for ticker BANK.L between 2015-01-01 and 2022-01-01
BAY.L,downloaded,65,
BBB.L,failed,0,No data found for ticker BBB.L between 2015-01-01 and 2022-01-01
BBSN.L,downloaded,1771,
BCE.L,downloaded,1771,
BELL.L,failed,0,No data found for ticker BELL.L between 2015-01-01 and 2022-01-01
BEM.L,downloaded,1771,
BGO.L,downloaded,1771,
BHL.L,downloaded,117,
BIG.L,downloaded,110,
BILN.L,downloaded,1771,
BIOM.L,failed,0,No data found for ticker BIOM.L between 2015-01-01 and 2022-01-01
