symbol,shortName,currency,exchangeName,instrumentType,exchangeTimezoneName,ticker,status,error,fetched_at_utc,yfinance_version
4BB.L,4BASEBIO PLC ORD EUR1.00,GBp,LSE,EQUITY,Europe/London,4BB.L,ok,,2026-09-11T20:37:48.666838+00:00,1.2.0
80M.L,80 MILE PLC ORD 0.01P,GBp,LSE,EQUITY,Europe/London,80M.L,ok,,2026-09-11T20:37:49.461665+00:00,1.2.0
88E.L,88 ENERGY LIMITED ORD NPV (DI),GBp,LSE,EQUITY,Europe/London,88E.L,ok,,2026-09-11T20:37:50.046999+00:00,1.2.0
AAU.L,ARIANA RESOURCES PLC ORD 0.1P,GBp,LSE,EQUITY,Europe/London,AAU.L,ok,,2026-09-11T20:37:50.630658+00:00,1.2.0
AAZ.L,ANGLO ASIAN MINING PLC ORD 1P,GBp,LSE,EQUITY,Europe/London,AAZ.L,ok,,2026-09-11T20:37:51.216251+00:00,1.2.0
ABDP.L,AB DYNAMICS PLC ORD 1P,GBp,LSE,EQUITY,Europe/London,ABDP.L,ok,,2026-09-11T20:37:51.832795+00:00,1.2.0
ABDX.L,ABINGDON HEALTH PLC ORD 0.025P,GBp,LSE,EQUITY,Europe/London,ABDX.L,ok,,2026-09-11T20:37:52.423999+00:00,1.2.0
ACRM.L,ACUITY RM GROUP PLC ORD 0.1P,GBp,LSE,EQUITY,Europe/London,ACRM.L,ok,,2026-09-11T20:37:52.996491+00:00,1.2.0
ACSO.L,ACCESSO TECHNOLOGY GROUP PLC OR,GBp,LSE,EQUITY,Europe/London,ACSO.L,ok,,2026-09-11T20:37:53.567740+00:00,1.2.0
ADVT.L,ADVANCEDADVT LIMITED ORD NPV (D,GBp,LSE,EQUITY,Europe/London,ADVT.L,ok,,2026-09-11T20:37:54.190052+00:00,1.2.0
AEG.L,ACTIVE ENERGY GROUP PLC ORD GBP,GBp,LSE,EQUITY,Europe/London,AEG.L,ok,,2026-09-11T20:37:54.764693+00:00,1.2.0
AEO.L,AEOREMA COMMUNICATIONS PLC ORD ,GBp,LSE,EQUITY,Europe/London,AEO.L,ok,,2026-09-11T20:37:55.330765+00:00,1.2.0
AET.L,AFENTRA PLC ORD 10P,GBp,LSE,EQUITY,Europe/London,AET.L,ok,,2026-09-11T20:37:55.898475+00:00,1.2.0
AFP.L,AFRICAN PIONEER PLC ORD NPV,GBp,LSE,EQUITY,Europe/London,AFP.L,ok,,2026-09-11T20:37:56.493434+00:00,1.2.0
AGI.L,POTENTIALLY AI PLC ORD GBP0.01,GBp,LSE,EQUITY,Europe/London,AGI.L,ok,,2026-09-11T20:37:57.069526+00:00,1.2.0
AGY.L,ALLERGY THERAPEUTICS PLC ORD 0.,GBp,LSE,EQUITY,Europe/London,AGY.L,ok,,2026-09-11T20:37:57.640301+00:00,1.2.0
AIEA.L,AIREA PLC ORD 25P,GBp,LSE,EQUITY,Europe/London,AIEA.L,ok,,2026-09-11T20:37:58.213033+00:00,1.2.0
AKN.L,ARKADIAN STRATEGIC METALS PLC O,GBp,LSE,EQUITY,Europe/London,AKN.L,ok,,2026-09-11T20:37:58.805962+00:00,1.2.0
ALL.L,ATLANTIC LITHIUM LIMITED ORD NP,GBp,LSE,EQUITY,Europe/London,ALL.L,ok,,2026-09-11T20:37:59.427957+00:00,1.2.0
ALT.L,ALTITUDE GROUP PLC ORD 0.4P,GBp,LSE,EQUITY,Europe/London,ALT.L,ok,,2026-09-11T20:38:00.015385+00:00,1.2.0
ALU.L,ALUMASC GROUP PLC ORD 12.5P,GBp,LSE,EQUITY,Europe/London,ALU.L,ok,,2026-09-11T20:38:00.579198+00:00,1.2.0
AMP.L,AMPEAK ENERGY LIMITED ORD NPV (,GBp,LSE,EQUITY,Europe/London,AMP.L,ok,,2026-09-11T20:38:01.155375+00:00,1.2.0
AMS.L,ADVANCED MEDICAL SOLUTIONS GROU,GBp,LSE,EQUITY,Europe/London,AMS.L,ok,,2026-09-11T20:38:01.734130+00:00,1.2.0
ANG.L,ANGLING DIRECT PLC ORD 1P,GBp,LSE,EQUITY,Europe/London,ANG.L,ok,,2026-09-11T20:38:02.387894+00:00,1.2.0
ANGS.L,ANGUS ENERGY PLC ORD GBP0.002,GBp,LSE,EQUITY,Europe/London,ANGS.L,ok,,2026-09-11T20:38:02.990036+00:00,1.2.0
ANIC.L,AGRONOMICS LIMITED  ORD 0.0001P,GBp,LSE,EQUITY,Europe/London,ANIC.L,ok,,2026-09-11T20:38:03.623804+00:00,1.2.0
ANP.L,ANPARIO PLC ORD 23P,GBp,LSE,EQUITY,Europe/London,ANP.L,ok,,2026-09-11T20:38:04.237977+00:00,1.2.0
AOM.L,ACTIVEOPS PLC ORD 0.1P,GBp,LSE,EQUITY,Europe/London,AOM.L,ok,,2026-09-11T20:38:04.841794+00:00,1.2.0
APTA.L,APTAMER GROUP PLC ORD 0.1P,GBp,LSE,EQUITY,Europe/London,APTA.L,ok,,2026-09-11T20:38:05.442602+00:00,1.2.0
ARBB.L,ARBUTHNOT BANKING GROUP PLC ORD,GBp,LSE,EQUITY,Europe/London,ARBB.L,ok,,2026-09-11T20:38:06.006488+00:00,1.2.0
ARC.L,ARCONTECH GROUP PLC ORD GBP0.12,GBp,LSE,EQUITY,Europe/London,ARC.L,ok,,2026-09-11T20:38:06.611878+00:00,1.2.0
ARCM.L,ARC MINERALS LIMITED ORDS NPV (,GBp,LSE,EQUITY,Europe/London,ARCM.L,ok,,2026-09-11T20:38:07.182329+00:00,1.2.0
AREC.L,ARECOR THERAPEUTICS PLC ORD GBP,GBp,LSE,EQUITY,Europe/London,AREC.L,ok,,2026-09-11T20:38:07.820009+00:00,1.2.0
ARS.L,ASIAMET RESOURCES LIMITED COM S,GBp,LSE,EQUITY,Europe/London,ARS.L,ok,,2026-09-11T20:38:08.416761+00:00,1.2.0
ART.L,THE ARTISANAL SPIRITS COMPANY P,GBp,LSE,EQUITY,Europe/London,ART.L,ok,,2026-09-11T20:38:09.036470+00:00,1.2.0
