ticker,status,rows,error
450.L,failed,0,No data found for ticker 450.L between 2023-01-01 and 2026-01-01
4BB.L,downloaded,758,
4GBL.L,failed,0,No data found for ticker 4GBL.L between 2023-01-01 and 2026-01-01
80M.L,downloaded,758,
88E.L,downloaded,758,
AAU.L,downloaded,758,
AAZ.L,downloaded,758,
ABDP.L,downloaded,758,
ABDX.L,downloaded,758,
ACRM.L,downloaded,758,
ACSO.L,downloaded,758,
ADF.L,downloaded,758,
ADVT.L,downloaded,758,
AEG.L,downloaded,758,
AEO.L,downloaded,758,
AET.L,downloaded,758,
AFP.L,downloaded,758,
AFRN.L,failed,0,No data found for ticker AFRN.L between 2023-01-01 and 2026-01-01
AGFX.L,failed,0,No data found for ticker AGFX.L between 2023-01-01 and 2026-01-01
AGI.L,downloaded,758,
AGY.L,downloaded,758,
AIEA.L,downloaded,758,
AKN.L,downloaded,758,
ALL.L,downloaded,758,
ALT.L,downloaded,758,
ALU.L,downloaded,758,
AMCO.L,downloaded,259,
AMP.L,downloaded,758,
AMS.L,downloaded,758,
ANG.L,downloaded,758,
ANGS.L,downloaded,758,
ANIC.L,downloaded,758,
ANP.L,downloaded,758,
AOM.L,downloaded,758,
AOTI.L,downloaded,391,
APQ.L,failed,0,No data found for ticker APQ.L between 2023-01-01 and 2026-01-01
APTA.L,downloaded,758,
ARBB.L,downloaded,758,
ARC.L,downloaded,758,
ARCM.L,downloaded,758,
AREC.L,downloaded,758,
ARS.L,downloaded,758,
ART.L,downloaded,758,
AST.L,downloaded,758,
ASY.L,downloaded,758,
ATM.L,downloaded,758,
ATOM.L,downloaded,758,
ATYM.L,downloaded,758,
AURA.L,downloaded,758,
AURR.L,downloaded,758,
AUTG.L,downloaded,758,
AVCT.L,downloaded,758,
AVG.L,downloaded,758,
AXL.L,downloaded,758,
AXS.L,downloaded,758,
AYM.L,downloaded,758,
B90.L,downloaded,758,
BANK.L,downloaded,758,
BBB.L,failed,0,No data found for ticker BBB.L between 2023-01-01 and 2026-01-01
BBSN.L,downloaded,758,
BCE.L,downloaded,758,
BELL.L,failed,0,No data found for ticker BELL.L between 2023-01-01 and 2026-01-01
BEM.L,downloaded,758,
BGO.L,downloaded,758,
BHL.L,downloaded,758,
BIG.L,downloaded,758,
BILN.L,downloaded,758,
BIOM.L,failed,0,No data found for ticker BIOM.L between 2023-01-01 and 2026-01-01
BION.L,failed,0,No data found for ticker BION.L between 2023-01-01 and 2026-01-01
BKS.L,downloaded,758,
BLVN.L,failed,0,No data found for ticker BLVN.L between 2023-01-01 and 2026-01-01
BME.L,downloaded,758,
BMIN.L,downloaded,758,
BMK.L,failed,0,No data found for ticker BMK.L between 2023-01-01 and 2026-01-01
BMN.L,failed,0,No data found for ticker BMN.L between 2023-01-01 and 2026-01-01
BMT.L,downloaded,758,
BMTO.L,downloaded,758,
BOKU.L,downloaded,758,
BOOM.L,downloaded,758,
BOR.L,downloaded,758,
BOW.L,downloaded,758,
BPM.L,downloaded,758,
BRCK.L,downloaded,758,
BTG.L,downloaded,758,
BUC.L,downloaded,758,
BVX.L,failed,0,No data found for ticker BVX.L between 2023-01-01 and 2026-01-01
BVXP.L,downloaded,758,
BZT.L,downloaded,758,
C4XD.L,failed,0,No data found for ticker C4XD.L between 2023-01-01 and 2026-01-01
CAM.L,downloaded,758,
CAML.L,downloaded,758,
CAV.L,downloaded,758,
CBOX.L,downloaded,758,
CCP.L,downloaded,758,
CCT.L,downloaded,758,
CDGP.L,downloaded,522,
CEL.L,failed,0,No data found for ticker CEL.L between 2023-01-01 and 2026-01-01
CEPS.L,downloaded,758,
CER.L,downloaded,758,
CFX.L,downloaded,758,
CGH.L,failed,0,No data found for ticker CGH.L between 2023-01-01 and 2026-01-01
CGNR.L,downloaded,758,
CHAR.L,downloaded,758,
CHL.L,downloaded,758,
CHP.L,downloaded,758,
CHRT.L,downloaded,758,
CKI.L,downloaded,347,
CKT.L,downloaded,758,
CLA.L,downloaded,739,
CLBS.L,downloaded,758,
CLON.L,downloaded,758,
CLX.L,downloaded,758,
CMCL.L,downloaded,758,
CML.L,downloaded,758,
CMO.L,failed,0,No data found for ticker CMO.L between 2023-01-01 and 2026-01-01
CMX.L,downloaded,758,
CNC.L,downloaded,758,
CNG.L,failed,0,No data found for ticker CNG.L between 2023-01-01 and 2026-01-01
CNS.L,downloaded,758,
CODE.L,downloaded,758,
COG.L,downloaded,758,
COIL.L,downloaded,758,
COM.L,downloaded,758,
COPC.L,downloaded,758,
CORA.L,downloaded,758,
CORO.L,downloaded,758,
CPH2.L,downloaded,758,
CPP.L,failed,0,No data found for ticker CPP.L between 2023-01-01 and 2026-01-01
CPX.L,downloaded,758,
CRCL.L,downloaded,758,
CRE.L,downloaded,758,
CREO.L,downloaded,758,
CRPR.L,downloaded,758,
CRTA.L,downloaded,758,
CRTX.L,downloaded,758,
CRU.L,downloaded,758,
CRW.L,downloaded,758,
