ticker,rows_returned,expected_sessions,duplicate_extra_rows,missing_sessions,unexpected_dates,incomplete_rows
450.L,0,2779,0,2779,0,0
4BB.L,1229,2779,0,1550,0,0
4GBL.L,0,2779,0,2779,0,0
80M.L,2779,2779,0,0,0,0
88E.L,2779,2779,0,0,0,1
AAU.L,2779,2779,0,0,0,0
AAZ.L,2779,2779,0,0,0,0
ABDP.L,2779,2779,0,0,0,0
ABDX.L,1272,2779,0,1507,0,0
ACRM.L,2779,2779,0,0,0,0
ACSO.L,2779,2779,0,0,0,0
ADF.L,1007,2779,0,1772,0,0
ADVT.L,1205,2779,0,1574,0,150
AEG.L,2779,2779,0,0,0,122
AEO.L,2779,2779,0,0,0,0
AET.L,2779,2779,0,0,0,0
AFP.L,1159,2779,0,1620,0,0
AFRN.L,0,2779,0,2779,0,0
AGFX.L,0,2779,0,2779,0,0
AGI.L,2779,2779,0,0,0,0
AGY.L,2779,2779,0,0,0,0
AIEA.L,2779,2779,0,0,0,0
AKN.L,2779,2779,0,0,0,0
ALL.L,2750,2779,0,29,0,0
ALT.L,2779,2779,0,0,0,0
ALU.L,2779,2779,0,0,0,0
AMCO.L,259,2779,0,2520,0,0
AMP.L,2779,2779,0,0,0,0
AMS.L,2779,2779,0,0,0,0
ANG.L,2140,2779,0,639,0,0
ANGS.L,2306,2779,0,473,0,0
ANIC.L,2779,2779,0,0,0,0
ANP.L,2779,2779,0,0,0,0
AOM.L,1201,2779,0,1578,0,0
AOTI.L,391,2779,0,2388,0,0
APQ.L,0,2779,0,2779,0,0
APTA.L,1014,2779,0,1765,0,0
ARBB.L,2779,2779,0,0,0,0
ARC.L,2779,2779,0,0,0,0
ARCM.L,2779,2779,0,0,0,0
AREC.L,1157,2779,0,1622,0,0
ARS.L,2779,2779,0,0,0,0
ART.L,1156,2779,0,1623,0,0
AST.L,2779,2779,0,0,0,0
ASY.L,2779,2779,0,0,0,0
ATM.L,2056,2779,0,723,0,0
ATOM.L,1010,2779,0,1769,0,0
ATYM.L,2779,2779,0,0,0,0
AURA.L,2351,2779,0,428,0,4
AURR.L,832,2779,0,1947,0,0
AUTG.L,2365,2779,0,414,0,0
AVCT.L,2779,2779,0,0,0,0
AVG.L,2779,2779,0,0,0,0
AXL.L,1056,2779,0,1723,0,0
AXS.L,2779,2779,0,0,0,0
AYM.L,2779,2779,0,0,0,0
B90.L,2779,2779,0,0,0,0
BANK.L,877,2779,0,1902,0,1
BBB.L,0,2779,0,2779,0,0
BBSN.L,2779,2779,0,0,0,0
BCE.L,2779,2779,0,0,0,205
BELL.L,0,2779,0,2779,0,0
BEM.L,2779,2779,0,0,0,0
BGO.L,2779,2779,0,0,0,0
BHL.L,1125,2779,0,1654,0,0
BIG.L,1118,2779,0,1661,0,0
BILN.L,2779,2779,0,0,0,0
BIOM.L,0,2779,0,2779,0,0
BION.L,0,2779,0,2779,0,0
BKS.L,2044,2779,0,735,0,0
BLVN.L,0,2779,0,2779,0,0
BME.L,2779,2779,0,0,0,1
BMIN.L,2779,2779,0,0,0,0
BMK.L,0,2779,0,2779,0,0
BMN.L,0,2779,0,2779,0,0
BMT.L,2779,2779,0,0,0,0
BMTO.L,2779,2779,0,0,0,0
BOKU.L,2049,2779,0,730,0,0
BOOM.L,2779,2779,0,0,0,0
BOR.L,2779,2779,0,0,0,0
BOW.L,2779,2779,0,0,0,0
BPM.L,2779,2779,0,0,0,0
BRCK.L,1602,2779,0,1177,0,0
BTG.L,2779,2779,0,0,0,0
BUC.L,2779,2779,0,0,0,0
BVX.L,0,2779,0,2779,0,0
BVXP.L,2779,2779,0,0,0,0
BZT.L,2779,2779,0,0,0,0
C4XD.L,0,2779,0,2779,0,0
CAM.L,2779,2779,0,0,0,0
CAML.L,2779,2779,0,0,0,0
CAV.L,1785,2779,0,994,0,0
CBOX.L,1899,2779,0,880,0,0
CCP.L,2779,2779,0,0,0,0
CCT.L,2779,2779,0,0,0,0
CDGP.L,522,2779,0,2257,0,0
CEL.L,0,2779,0,2779,0,0
CEPS.L,2779,2779,0,0,0,0
CER.L,2472,2779,0,307,0,0
CFX.L,2779,2779,0,0,0,0
CGH.L,0,2779,0,2779,0,0
CGNR.L,2779,2779,0,0,0,0
CHAR.L,2779,2779,0,0,0,0
CHL.L,2779,2779,0,0,0,394
CHP.L,2779,2779,0,0,0,0
CHRT.L,2779,2779,0,0,0,0
CKI.L,347,2779,0,2432,0,0
CKT.L,2779,2779,0,0,0,0
CLA.L,739,2779,0,2040,0,0
CLBS.L,2779,2779,0,0,0,0
CLON.L,2779,2779,0,0,0,0
CLX.L,1323,2779,0,1456,0,0
CMCL.L,2779,2779,0,0,0,0
CML.L,2779,2779,0,0,0,0
CMO.L,0,2779,0,2779,0,0
CMX.L,2779,2779,0,0,0,0
CNC.L,2779,2779,0,0,0,0
CNG.L,0,2779,0,2779,0,0
CNS.L,2779,2779,0,0,0,0
CODE.L,1119,2779,0,1660,0,0
COG.L,2779,2779,0,0,0,0
COIL.L,1206,2779,0,1573,0,0
COM.L,2409,2779,0,370,0,0
COPC.L,1329,2779,0,1450,0,0
CORA.L,2079,2779,0,700,0,0
CORO.L,2235,2779,0,544,0,96
CPH2.L,977,2779,0,1802,0,0
CPP.L,0,2779,0,2779,0,0
CPX.L,2779,2779,0,0,0,0
CRCL.L,2779,2779,0,0,0,0
CRE.L,1281,2779,0,1498,0,0
CREO.L,2287,2779,0,492,0,0
CRPR.L,2779,2779,0,0,0,0
CRTA.L,2779,2779,0,0,0,93
CRTX.L,2779,2779,0,0,0,0
CRU.L,2779,2779,0,0,0,0
CRW.L,2779,2779,0,0,0,0
CSC.L,2779,2779,0,0,0,0
CSSG.L,2779,2779,0,0,0,0
CTA.L,1013,2779,0,1766,0,0
CTAI.L,2779,2779,0,0,0,0
CTG.L,2779,2779,0,0,0,0
CTL.L,956,2779,0,1823,0,0
CYAN.L,2779,2779,0,0,0,0
DBOX.L,2779,2779,0,0,0,0
DCI.L,2779,2779,0,0,0,0
DCTA.L,0,2779,0,2779,0,0
DEBS.L,2779,2779,0,0,0,0
DEST.L,0,2779,0,2779,0,0
DEVO.L,1048,2779,0,1731,0,0
DIS.L,2779,2779,0,0,0,0
DISH.L,1873,2779,0,906,0,486
DKL.L,2779,2779,0,0,0,0
DNM.L,1164,2779,0,1615,0,0
DOTD.L,2779,2779,0,0,0,0
DPEU.L,0,2779,0,2779,0,0
